ICD10CMCODE,DiagnosisDesc,TotalDiag,PrimaryDiag,SecondDiag
A23.9,"BRUCELLOSIS, UNSPECIFIED",58,16,42
A24.0,GLANDERS,2,,2
A24.1,ACUTE AND FULMINATING MELIOIDOSIS,1,1,
A24.2,SUBACUTE AND CHRONIC MELIOIDOSIS,1,,1
A24.3,OTHER MELIOIDOSIS,1,,1
A24.9,"MELIOIDOSIS, UNSPECIFIED",2,,2
A25.1,STREPTOBACILLOSIS,3,,3
A25.9,"RAT-BITE FEVER, UNSPECIFIED",4,2,2
A26.0,CUTANEOUS ERYSIPELOID,1,,1
A26.7,ERYSIPELOTHRIX SEPSIS,4,1,3
A26.8,OTHER FORMS OF ERYSIPELOID,1,,1
A26.9,"ERYSIPELOID, UNSPECIFIED",3,1,2
A27.0,LEPTOSPIROSIS ICTEROHEMORRHAGICA,2,,2
A27.81,ASEPTIC MENINGITIS IN LEPTOSPIROSIS,2,1,1
A27.9,"LEPTOSPIROSIS, UNSPECIFIED",26,3,23
A28.0,PASTEURELLOSIS,191,59,132
A28.1,CAT-SCRATCH DISEASE,68,13,55
A28.2,EXTRAINTESTINAL YERSINIOSIS,1,,1
A28.9,"ZOONOTIC BACTERIAL DISEASE, UNSPECIFIED",2,1,1
A30.1,TUBERCULOID LEPROSY,1,,1
A30.4,BORDERLINE LEPROMATOUS LEPROSY,1,,1
A30.5,LEPROMATOUS LEPROSY,1,1,
A30.9,"LEPROSY, UNSPECIFIED",12,,12
A31.0,PULMONARY MYCOBACTERIAL INFECTION,1506,207,1299
A31.1,CUTANEOUS MYCOBACTERIAL INFECTION,37,5,32
A31.2,DISSEM MYCOBACTERIUM AVIUM-INTRACELLULARE COMPLEX (DMAC),276,37,239
A31.8,OTHER MYCOBACTERIAL INFECTIONS,189,20,169
A31.9,"MYCOBACTERIAL INFECTION, UNSPECIFIED",301,19,282
A32.11,LISTERIAL MENINGITIS,31,11,20
A32.12,LISTERIAL MENINGOENCEPHALITIS,14,5,9
A32.7,LISTERIAL SEPSIS,38,32,6
A32.82,LISTERIAL ENDOCARDITIS,2,,2
A32.89,OTHER FORMS OF LISTERIOSIS,12,4,8
A32.9,"LISTERIOSIS, UNSPECIFIED",11,2,9
A33.,TETANUS NEONATORUM,1,,1
A34.,OBSTETRICAL TETANUS,1,,1
A35.,OTHER TETANUS,27,6,21
A36.3,CUTANEOUS DIPHTHERIA,17,,17
A36.81,DIPHTHERITIC CARDIOMYOPATHY,1,,1
A36.85,DIPHTHERITIC CYSTITIS,1,,1
A36.86,DIPHTHERITIC CONJUNCTIVITIS,1,,1
A36.89,OTHER DIPHTHERITIC COMPLICATIONS,13,,13
A36.9,"DIPHTHERIA, UNSPECIFIED",7,,7
A37.00,WHOOPING COUGH DUE TO BORDETELLA PERTUSSIS WITHOUT PNEUMONIA,63,48,15
A37.01,WHOOPING COUGH DUE TO BORDETELLA PERTUSSIS WITH PNEUMONIA,16,7,9
A37.10,WHOOPING COUGH DUE TO BORDETELLA PARAPERTUSSIS W/O PNEUMONIA,3,1,2
A37.11,WHOOPING COUGH DUE TO BORDETELLA PARAPERTUSSIS W PNEUMONIA,2,2,
A37.80,WHOOPING COUGH DUE TO OTHER BORDETELLA SPECIES W/O PNEUMONIA,6,5,1
A37.81,WHOOPING COUGH DUE TO OTH BORDETELLA SPECIES WITH PNEUMONIA,3,,3
A37.90,"WHOOPING COUGH, UNSPECIFIED SPECIES WITHOUT PNEUMONIA",114,69,45
A37.91,"WHOOPING COUGH, UNSPECIFIED SPECIES WITH PNEUMONIA",17,5,12
A38.0,SCARLET FEVER WITH OTITIS MEDIA,1,1,
A38.8,SCARLET FEVER WITH OTHER COMPLICATIONS,5,4,1
A38.9,"SCARLET FEVER, UNCOMPLICATED",85,39,46
A39.0,MENINGOCOCCAL MENINGITIS,42,15,27
A39.1,WATERHOUSE-FRIDERICHSEN SYNDROME,9,2,7
A39.2,ACUTE MENINGOCOCCEMIA,8,4,4
A39.4,"MENINGOCOCCEMIA, UNSPECIFIED",18,12,6
A39.51,MENINGOCOCCAL ENDOCARDITIS,1,,1
A39.53,MENINGOCOCCAL PERICARDITIS,1,,1
A39.81,MENINGOCOCCAL ENCEPHALITIS,9,3,6
A39.89,OTHER MENINGOCOCCAL INFECTIONS,2,,2
A39.9,"MENINGOCOCCAL INFECTION, UNSPECIFIED",4,,4
A40.0,"SEPSIS DUE TO STREPTOCOCCUS, GROUP A",1929,1651,278
A40.1,"SEPSIS DUE TO STREPTOCOCCUS, GROUP B",2044,1717,327
A40.3,SEPSIS DUE TO STREPTOCOCCUS PNEUMONIAE,2288,2089,199
A40.8,OTHER STREPTOCOCCAL SEPSIS,2943,2235,708
A40.9,"STREPTOCOCCAL SEPSIS, UNSPECIFIED",1815,1464,351
A41.01,SEPSIS DUE TO METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS,8865,5791,3074
A41.02,SEPSIS DUE TO METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS,6992,4722,2270
A41.1,SEPSIS DUE TO OTHER SPECIFIED STAPHYLOCOCCUS,2749,1587,1162
A41.2,SEPSIS DUE TO UNSPECIFIED STAPHYLOCOCCUS,742,479,263
A41.3,SEPSIS DUE TO HEMOPHILUS INFLUENZAE,390,319,71
A41.4,SEPSIS DUE TO ANAEROBES,2562,1938,624
A41.50,"GRAM-NEGATIVE SEPSIS, UNSPECIFIED",4198,3200,998
A41.51,SEPSIS DUE TO ESCHERICHIA COLI [E. COLI],26390,22069,4321
A41.52,SEPSIS DUE TO PSEUDOMONAS,3847,2310,1537
A41.53,SEPSIS DUE TO SERRATIA,672,330,342
A41.59,OTHER GRAM-NEGATIVE SEPSIS,9866,6734,3132
A41.81,SEPSIS DUE TO ENTEROCOCCUS,5336,3012,2324
A41.89,OTHER SPECIFIED SEPSIS,11690,9242,2448
A41.9,"SEPSIS, UNSPECIFIED ORGANISM",264761,220191,44570
A42.0,PULMONARY ACTINOMYCOSIS,36,13,23
A42.1,ABDOMINAL ACTINOMYCOSIS,13,4,9
A42.2,CERVICOFACIAL ACTINOMYCOSIS,10,1,9
A42.7,ACTINOMYCOTIC SEPSIS,45,28,17
A42.89,OTHER FORMS OF ACTINOMYCOSIS,47,3,44
A42.9,"ACTINOMYCOSIS, UNSPECIFIED",51,2,49
A43.0,PULMONARY NOCARDIOSIS,175,25,150
A43.1,CUTANEOUS NOCARDIOSIS,13,1,12
A43.8,OTHER FORMS OF NOCARDIOSIS,36,10,26
A43.9,"NOCARDIOSIS, UNSPECIFIED",22,2,20
A44.0,SYSTEMIC BARTONELLOSIS,12,4,8
A44.1,CUTANEOUS AND MUCOCUTANEOUS BARTONELLOSIS,3,,3
A44.8,OTHER FORMS OF BARTONELLOSIS,7,1,6
A44.9,"BARTONELLOSIS, UNSPECIFIED",22,6,16
A46.,ERYSIPELAS,454,88,366
A48.0,GAS GANGRENE,1247,30,1217
A48.1,LEGIONNAIRES' DISEASE,325,57,268
A48.2,NONPNEUMONIC LEGIONNAIRES' DISEASE [PONTIAC FEVER],3,,3
A48.3,TOXIC SHOCK SYNDROME,255,68,187
A48.4,BRAZILIAN PURPURIC FEVER,2,,2
A48.51,INFANT BOTULISM,44,38,6
A48.52,WOUND BOTULISM,58,37,21
A48.8,OTHER SPECIFIED BACTERIAL DISEASES,46,3,43
A49.01,"METHICILLIN SUSCEP STAPH INFECTION, UNSP SITE",1185,18,1167
A49.02,"METHICILLIN RESIS STAPH INFECTION, UNSP SITE",1036,11,1025
A49.1,"STREPTOCOCCAL INFECTION, UNSPECIFIED SITE",184,11,173
A49.2,"HEMOPHILUS INFLUENZAE INFECTION, UNSPECIFIED SITE",5,,5
A49.3,"MYCOPLASMA INFECTION, UNSPECIFIED SITE",140,18,122
A49.8,OTHER BACTERIAL INFECTIONS OF UNSPECIFIED SITE,311,12,299
A49.9,"BACTERIAL INFECTION, UNSPECIFIED",330,30,300
A50.02,EARLY CONGENITAL SYPHILITIC OSTEOCHONDROPATHY,14,,14
A50.04,EARLY CONGENITAL SYPHILITIC PNEUMONIA,2,,2
A50.09,"OTHER EARLY CONGENITAL SYPHILIS, SYMPTOMATIC",7,1,6
A50.1,"EARLY CONGENITAL SYPHILIS, LATENT",19,2,17
A50.2,"EARLY CONGENITAL SYPHILIS, UNSPECIFIED",221,48,173
A50.40,"LATE CONGENITAL NEUROSYPHILIS, UNSPECIFIED",3,,3
A50.41,LATE CONGENITAL SYPHILITIC MENINGITIS,1,,1
A50.49,OTHER LATE CONGENITAL NEUROSYPHILIS,1,,1
A50.57,SYPHILITIC SADDLE NOSE,1,,1
A50.59,"OTHER LATE CONGENITAL SYPHILIS, SYMPTOMATIC",1,,1
A50.6,"LATE CONGENITAL SYPHILIS, LATENT",1,,1
A50.7,"LATE CONGENITAL SYPHILIS, UNSPECIFIED",1,,1
A50.9,"CONGENITAL SYPHILIS, UNSPECIFIED",205,28,177
A51.0,PRIMARY GENITAL SYPHILIS,65,4,61
A51.2,PRIMARY SYPHILIS OF OTHER SITES,6,,6
A51.31,CONDYLOMA LATUM,16,2,14
A51.32,SYPHILITIC ALOPECIA,4,,4
A51.39,OTHER SECONDARY SYPHILIS OF SKIN,41,12,29
A51.41,SECONDARY SYPHILITIC MENINGITIS,3,1,2
A51.43,SECONDARY SYPHILITIC OCULOPATHY,48,24,24
A51.45,SECONDARY SYPHILITIC HEPATITIS,3,1,2
A51.49,OTHER SECONDARY SYPHILITIC CONDITIONS,71,11,60
A51.5,"EARLY SYPHILIS, LATENT",61,1,60
A51.9,"EARLY SYPHILIS, UNSPECIFIED",12,,12
A52.02,SYPHILITIC AORTITIS,7,1,6
A52.03,SYPHILITIC ENDOCARDITIS,2,,2
A52.04,SYPHILITIC CEREBRAL ARTERITIS,1,,1
A52.06,OTHER SYPHILITIC HEART INVOLVEMENT,1,,1
A52.10,"SYMPTOMATIC NEUROSYPHILIS, UNSPECIFIED",1,1,
A52.11,TABES DORSALIS,8,5,3
A52.13,LATE SYPHILITIC MENINGITIS,12,4,8
A52.15,LATE SYPHILITIC NEUROPATHY,9,5,4
A52.16,CHARCOT'S ARTHROPATHY (TABETIC),290,11,279
A52.17,GENERAL PARESIS,36,2,34
A52.19,OTHER SYMPTOMATIC NEUROSYPHILIS,55,23,32
A52.2,ASYMPTOMATIC NEUROSYPHILIS,7,,7
A52.3,"NEUROSYPHILIS, UNSPECIFIED",434,194,240
A52.71,LATE SYPHILITIC OCULOPATHY,39,22,17
A52.73,SYMPTOMATIC LATE SYPHILIS OF OTHER RESPIRATORY ORGANS,1,,1
A52.74,SYPHILIS OF LIVER AND OTHER VISCERA,1,1,
A52.76,OTHER GENITOURINARY SYMPTOMATIC LATE SYPHILIS,5,1,4
A52.77,SYPHILIS OF BONE AND JOINT,1,,1
A52.79,OTHER SYMPTOMATIC LATE SYPHILIS,18,2,16
A52.8,"LATE SYPHILIS, LATENT",354,11,343
A52.9,"LATE SYPHILIS, UNSPECIFIED",46,4,42
A53.0,"LATENT SYPHILIS, UNSPECIFIED AS EARLY OR LATE",796,13,783
A53.9,"SYPHILIS, UNSPECIFIED",874,14,860
A54.00,"GONOCOCCAL INFECTION OF LOWER GENITOURINARY TRACT, UNSP",9,3,6
A54.01,"GONOCOCCAL CYSTITIS AND URETHRITIS, UNSPECIFIED",34,3,31
A54.02,"GONOCOCCAL VULVOVAGINITIS, UNSPECIFIED",30,1,29
A54.03,"GONOCOCCAL CERVICITIS, UNSPECIFIED",18,1,17
A54.09,OTHER GONOCOCCAL INFECTION OF LOWER GENITOURINARY TRACT,15,2,13
A54.1,GONOCL INFCT OF LOWER GU TRACT W PERIURETH AND ACC GLND ABCS,3,,3
A54.21,GONOCOCCAL INFECTION OF KIDNEY AND URETER,1,,1
A54.22,GONOCOCCAL PROSTATITIS,4,2,2
A54.23,GONOCOCCAL INFECTION OF OTHER MALE GENITAL ORGANS,24,6,18
A54.24,GONOCOCCAL FEMALE PELVIC INFLAMMATORY DISEASE,125,66,59
A54.29,OTHER GONOCOCCAL GENITOURINARY INFECTIONS,3,,3
A54.30,"GONOCOCCAL INFECTION OF EYE, UNSPECIFIED",1,,1
A54.31,GONOCOCCAL CONJUNCTIVITIS,29,10,19
A54.33,GONOCOCCAL KERATITIS,1,,1
A54.39,OTHER GONOCOCCAL EYE INFECTION,2,1,1
A54.42,GONOCOCCAL ARTHRITIS,71,41,30
A54.43,GONOCOCCAL OSTEOMYELITIS,1,,1
A54.49,GONOCOCCAL INFECTION OF OTHER MUSCULOSKELETAL TISSUE,19,5,14
A54.5,GONOCOCCAL PHARYNGITIS,12,1,11
A54.6,GONOCOCCAL INFECTION OF ANUS AND RECTUM,15,1,14
A54.81,GONOCOCCAL MENINGITIS,2,1,1
A54.83,GONOCOCCAL HEART INFECTION,1,1,
A54.85,GONOCOCCAL PERITONITIS,11,1,10
A54.86,GONOCOCCAL SEPSIS,39,36,3
A54.89,OTHER GONOCOCCAL INFECTIONS,36,9,27
A54.9,"GONOCOCCAL INFECTION, UNSPECIFIED",350,13,337
A55.,CHLAMYDIAL LYMPHOGRANULOMA (VENEREUM),19,6,13
A56.00,"CHLAMYDIAL INFECTION OF LOWER GENITOURINARY TRACT, UNSP",170,,170
A56.01,CHLAMYDIAL CYSTITIS AND URETHRITIS,33,4,29
A56.02,CHLAMYDIAL VULVOVAGINITIS,80,1,79
A56.09,OTHER CHLAMYDIAL INFECTION OF LOWER GENITOURINARY TRACT,34,3,31
A56.11,CHLAMYDIAL FEMALE PELVIC INFLAMMATORY DISEASE,141,60,81
A56.19,OTHER CHLAMYDIAL GENITOURINARY INFECTION,31,3,28
A56.2,"CHLAMYDIAL INFECTION OF GENITOURINARY TRACT, UNSPECIFIED",100,3,97
A56.3,CHLAMYDIAL INFECTION OF ANUS AND RECTUM,22,5,17
A56.4,CHLAMYDIAL INFECTION OF PHARYNX,1,,1
A56.8,SEXUALLY TRANSMITTED CHLAMYDIAL INFECTION OF OTHER SITES,340,2,338
A57.,CHANCROID,9,1,8
A58.,GRANULOMA INGUINALE,7,,7
A59.00,"UROGENITAL TRICHOMONIASIS, UNSPECIFIED",57,,57
A59.01,TRICHOMONAL VULVOVAGINITIS,361,13,348
A59.03,TRICHOMONAL CYSTITIS AND URETHRITIS,18,1,17
A59.09,OTHER UROGENITAL TRICHOMONIASIS,61,2,59
A59.8,TRICHOMONIASIS OF OTHER SITES,16,,16
A59.9,"TRICHOMONIASIS, UNSPECIFIED",392,8,384
A60.00,"HERPESVIRAL INFECTION OF UROGENITAL SYSTEM, UNSPECIFIED",5752,16,5736
A60.01,HERPESVIRAL INFECTION OF PENIS,73,9,64
A60.02,HERPESVIRAL INFECTION OF OTHER MALE GENITAL ORGANS,102,2,100
A60.03,HERPESVIRAL CERVICITIS,10,,10
A60.04,HERPESVIRAL VULVOVAGINITIS,1171,30,1141
A60.09,HERPESVIRAL INFECTION OF OTHER UROGENITAL TRACT,745,6,739
A60.1,HERPESVIRAL INFECTION OF PERIANAL SKIN AND RECTUM,111,5,106
A60.9,"ANOGENITAL HERPESVIRAL INFECTION, UNSPECIFIED",235,3,232
A63.0,ANOGENITAL (VENEREAL) WARTS,1430,19,1411
A63.8,OTHER SPECIFIED PREDOMINANTLY SEXUALLY TRANSMITTED DISEASES,7,,7
A64.,UNSPECIFIED SEXUALLY TRANSMITTED DISEASE,62,,62
A66.1,MULTIPLE PAPILLOMATA AND WET CRAB YAWS,1,,1
A66.6,BONE AND JOINT LESIONS OF YAWS,3,,3
A67.0,PRIMARY LESIONS OF PINTA,3,,3
A67.1,INTERMEDIATE LESIONS OF PINTA,2,,2
A67.9,"PINTA, UNSPECIFIED",2,,2
A68.1,TICK-BORNE RELAPSING FEVER,4,2,2
A68.9,"RELAPSING FEVER, UNSPECIFIED",90,21,69
A69.0,NECROTIZING ULCERATIVE STOMATITIS,4,,4
A69.1,OTHER VINCENT'S INFECTIONS,21,4,17
A69.20,"LYME DISEASE, UNSPECIFIED",489,20,469
A69.21,MENINGITIS DUE TO LYME DISEASE,4,4,
A69.22,OTHER NEUROLOGIC DISORDERS IN LYME DISEASE,20,6,14
A69.23,ARTHRITIS DUE TO LYME DISEASE,22,4,18
A69.29,OTHER CONDITIONS ASSOCIATED WITH LYME DISEASE,5,,5
A69.8,OTHER SPECIFIED SPIROCHETAL INFECTIONS,3,,3
A70.,CHLAMYDIA PSITTACI INFECTIONS,7,1,6
A71.9,"TRACHOMA, UNSPECIFIED",2,,2
A74.0,CHLAMYDIAL CONJUNCTIVITIS,4,1,3
A74.81,CHLAMYDIAL PERITONITIS,15,3,12
A74.89,OTHER CHLAMYDIAL DISEASES,26,1,25
A74.9,"CHLAMYDIAL INFECTION, UNSPECIFIED",782,7,775
A75.0,EPIDEMIC LOUSE-BORNE TYPHUS FEVER D/T RICKETTSIA PROWAZEKII,2,,2
A75.1,RECRUDESCENT TYPHUS [BRILL'S DISEASE],2,,2
A75.2,TYPHUS FEVER DUE TO RICKETTSIA TYPHI,93,44,49
A75.3,TYPHUS FEVER DUE TO RICKETTSIA TSUTSUGAMUSHI,2,,2
A75.9,"TYPHUS FEVER, UNSPECIFIED",25,10,15
A77.0,SPOTTED FEVER DUE TO RICKETTSIA RICKETTSII,25,8,17
A77.40,"EHRLICHIOSIS, UNSPECIFIED",6,,6
A77.41,EHRLICHIOSIS CHAFEENSIS [E. CHAFEENSIS],1,1,
A77.49,OTHER EHRLICHIOSIS,4,,4
A77.8,OTHER SPOTTED FEVERS,1,1,
A77.9,"SPOTTED FEVER, UNSPECIFIED",5,,5
A78.,Q FEVER,79,21,58
A79.0,TRENCH FEVER,1,,1
A79.89,OTHER SPECIFIED RICKETTSIOSES,4,1,3
A79.9,"RICKETTSIOSIS, UNSPECIFIED",40,12,28
A80.30,"ACUTE PARALYTIC POLIOMYELITIS, UNSPECIFIED",3,,3
A80.39,OTHER ACUTE PARALYTIC POLIOMYELITIS,2,2,
A80.9,"ACUTE POLIOMYELITIS, UNSPECIFIED",54,,54
A81.00,"CREUTZFELDT-JAKOB DISEASE, UNSPECIFIED",88,49,39
A81.01,VARIANT CREUTZFELDT-JAKOB DISEASE,1,1,
A81.09,OTHER CREUTZFELDT-JAKOB DISEASE,10,8,2
A81.1,SUBACUTE SCLEROSING PANENCEPHALITIS,10,1,9
A81.2,PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,115,17,98
A81.82,GERSTMANN-STRAUSSLER-SCHEINKER SYNDROME,4,,4
A81.83,FATAL FAMILIAL INSOMNIA,4,,4
A81.89,OTHER ATYPICAL VIRUS INFECTIONS OF CENTRAL NERVOUS SYSTEM,1,,1
A81.9,"ATYPICAL VIRUS INFECTION OF CENTRAL NERVOUS SYSTEM, UNSP",12,5,7
A82.9,"RABIES, UNSPECIFIED",1,,1
A83.1,WESTERN EQUINE ENCEPHALITIS,2,,2
A83.2,EASTERN EQUINE ENCEPHALITIS,1,,1
A83.3,ST LOUIS ENCEPHALITIS,4,1,3
A83.5,CALIFORNIA ENCEPHALITIS,1,,1
A84.9,"TICK-BORNE VIRAL ENCEPHALITIS, UNSPECIFIED",2,2,
A85.0,ENTEROVIRAL ENCEPHALITIS,23,17,6
A85.1,ADENOVIRAL ENCEPHALITIS,2,2,
