ProcedureCode,ProcedureDesc,TotalProc,PrimaryProc,SecondProc
009730Z,"DRAINAGE OF CEREB HEMIS WITH DRAIN DEV, PERC APPROACH",19,8,11
00973ZX,"DRAINAGE OF CEREBRAL HEMISPHERE, PERC APPROACH, DIAGN",17,12,5
00973ZZ,"DRAINAGE OF CEREBRAL HEMISPHERE, PERCUTANEOUS APPROACH",25,14,11
009740Z,"DRAINAGE OF CEREB HEMIS WITH DRAIN DEV, PERC ENDO APPROACH",1,1,
00974ZZ,"DRAINAGE OF CEREBRAL HEMISPHERE, PERC ENDO APPROACH",3,2,1
009800Z,"DRAINAGE OF BASAL GANGLIA WITH DRAIN DEV, OPEN APPROACH",1,1,
00980ZZ,"DRAINAGE OF BASAL GANGLIA, OPEN APPROACH",1,1,
009830Z,"DRAINAGE OF BASAL GANGLIA WITH DRAIN DEV, PERC APPROACH",1,,1
00983ZX,"DRAINAGE OF BASAL GANGLIA, PERCUTANEOUS APPROACH, DIAGNOSTIC",1,,1
00983ZZ,"DRAINAGE OF BASAL GANGLIA, PERCUTANEOUS APPROACH",1,,1
00984ZX,"DRAINAGE OF BASAL GANGLIA, PERC ENDO APPROACH, DIAGN",1,1,
009900Z,"DRAINAGE OF THALAMUS WITH DRAINAGE DEVICE, OPEN APPROACH",2,1,1
00990ZX,"DRAINAGE OF THALAMUS, OPEN APPROACH, DIAGNOSTIC",1,,1
00993ZZ,"DRAINAGE OF THALAMUS, PERCUTANEOUS APPROACH",1,1,
009C00Z,"DRAINAGE OF CEREBELLUM WITH DRAINAGE DEVICE, OPEN APPROACH",9,3,6
009C0ZX,"DRAINAGE OF CEREBELLUM, OPEN APPROACH, DIAGNOSTIC",1,1,
009C0ZZ,"DRAINAGE OF CEREBELLUM, OPEN APPROACH",42,11,31
009C3ZX,"DRAINAGE OF CEREBELLUM, PERCUTANEOUS APPROACH, DIAGNOSTIC",2,,2
009C3ZZ,"DRAINAGE OF CEREBELLUM, PERCUTANEOUS APPROACH",2,1,1
009C4ZZ,"DRAINAGE OF CEREBELLUM, PERCUTANEOUS ENDOSCOPIC APPROACH",1,1,
009D00Z,"DRAINAGE OF MEDULLA OBLONGATA WITH DRAIN DEV, OPEN APPROACH",1,1,
009G3ZZ,"DRAINAGE OF OPTIC NERVE, PERCUTANEOUS APPROACH",1,1,
009T00Z,"DRAINAGE OF SPINAL MENINGES WITH DRAIN DEV, OPEN APPROACH",22,4,18
009T0ZX,"DRAINAGE OF SPINAL MENINGES, OPEN APPROACH, DIAGNOSTIC",1,1,
009T0ZZ,"DRAINAGE OF SPINAL MENINGES, OPEN APPROACH",57,21,36
009T30Z,"DRAINAGE OF SPINAL MENINGES WITH DRAIN DEV, PERC APPROACH",19,3,16
009T3ZX,"DRAINAGE OF SPINAL MENINGES, PERCUTANEOUS APPROACH, DIAGN",22,11,11
009T3ZZ,"DRAINAGE OF SPINAL MENINGES, PERCUTANEOUS APPROACH",8,1,7
009T40Z,"DRAIN OF SPINAL MENINGES WITH DRAIN DEV, PERC ENDO APPROACH",2,,2
009T4ZZ,"DRAINAGE OF SPINAL MENINGES, PERC ENDO APPROACH",1,,1
009U00Z,"DRAINAGE OF SPINAL CANAL WITH DRAINAGE DEVICE, OPEN APPROACH",222,80,142
009U0ZX,"DRAINAGE OF SPINAL CANAL, OPEN APPROACH, DIAGNOSTIC",48,20,28
009U0ZZ,"DRAINAGE OF SPINAL CANAL, OPEN APPROACH",246,101,145
009U30Z,"DRAINAGE OF SPINAL CANAL WITH DRAINAGE DEVICE, PERC APPROACH",1061,223,838
009U3ZX,"DRAINAGE OF SPINAL CANAL, PERCUTANEOUS APPROACH, DIAGNOSTIC",31873,19756,12117
009U3ZZ,"DRAINAGE OF SPINAL CANAL, PERCUTANEOUS APPROACH",1468,599,869
009U40Z,"DRAINAGE OF SPINAL CANAL WITH DRAIN DEV, PERC ENDO APPROACH",2,,2
009U4ZX,"DRAINAGE OF SPINAL CANAL, PERC ENDO APPROACH, DIAGN",8,2,6
009U4ZZ,"DRAINAGE OF SPINAL CANAL, PERCUTANEOUS ENDOSCOPIC APPROACH",1,,1
009W00Z,"DRAINAGE OF CERV SPINAL CORD WITH DRAIN DEV, OPEN APPROACH",14,9,5
009W0ZX,"DRAINAGE OF CERVICAL SPINAL CORD, OPEN APPROACH, DIAGNOSTIC",2,,2
009W0ZZ,"DRAINAGE OF CERVICAL SPINAL CORD, OPEN APPROACH",8,5,3
009W30Z,"DRAINAGE OF CERV SPINAL CORD WITH DRAIN DEV, PERC APPROACH",2,1,1
009W3ZX,"DRAINAGE OF CERVICAL SPINAL CORD, PERC APPROACH, DIAGN",6,4,2
009W3ZZ,"DRAINAGE OF CERVICAL SPINAL CORD, PERCUTANEOUS APPROACH",4,2,2
009X00Z,"DRAINAGE OF THOR SPINAL CORD WITH DRAIN DEV, OPEN APPROACH",27,10,17
009X0ZX,"DRAINAGE OF THORACIC SPINAL CORD, OPEN APPROACH, DIAGNOSTIC",3,1,2
009X0ZZ,"DRAINAGE OF THORACIC SPINAL CORD, OPEN APPROACH",6,,6
009X30Z,"DRAINAGE OF THOR SPINAL CORD WITH DRAIN DEV, PERC APPROACH",3,1,2
009X3ZX,"DRAINAGE OF THORACIC SPINAL CORD, PERC APPROACH, DIAGN",18,13,5
009X3ZZ,"DRAINAGE OF THORACIC SPINAL CORD, PERCUTANEOUS APPROACH",5,1,4
009Y00Z,"DRAINAGE OF LUMBAR SPINAL CORD WITH DRAIN DEV, OPEN APPROACH",24,10,14
009Y0ZX,"DRAINAGE OF LUMBAR SPINAL CORD, OPEN APPROACH, DIAGNOSTIC",3,2,1
009Y0ZZ,"DRAINAGE OF LUMBAR SPINAL CORD, OPEN APPROACH",16,7,9
009Y30Z,"DRAINAGE OF LUMBAR SPINAL CORD WITH DRAIN DEV, PERC APPROACH",121,34,87
009Y3ZX,"DRAINAGE OF LUMBAR SPINAL CORD, PERCUTANEOUS APPROACH, DIAGN",63,38,25
009Y3ZZ,"DRAINAGE OF LUMBAR SPINAL CORD, PERCUTANEOUS APPROACH",66,31,35
009Y40Z,"DRAIN OF LUM SPINAL CORD WITH DRAIN DEV, PERC ENDO APPROACH",9,3,6
009Y4ZX,"DRAINAGE OF LUMBAR SPINAL CORD, PERC ENDO APPROACH, DIAGN",1,1,
00B00ZX,"EXCISION OF BRAIN, OPEN APPROACH, DIAGNOSTIC",643,495,148
00B00ZZ,"EXCISION OF BRAIN, OPEN APPROACH",1846,1630,216
00B03ZX,"EXCISION OF BRAIN, PERCUTANEOUS APPROACH, DIAGNOSTIC",377,314,63
00B03ZZ,"EXCISION OF BRAIN, PERCUTANEOUS APPROACH",25,24,1
00B04ZX,"EXCISION OF BRAIN, PERCUTANEOUS ENDOSCOPIC APPROACH, DIAGN",17,8,9
00B04ZZ,"EXCISION OF BRAIN, PERCUTANEOUS ENDOSCOPIC APPROACH",17,12,5
00B10ZX,"EXCISION OF CEREBRAL MENINGES, OPEN APPROACH, DIAGNOSTIC",124,76,48
00B10ZZ,"EXCISION OF CEREBRAL MENINGES, OPEN APPROACH",1090,1009,81
00B13ZX,"EXCISION OF CEREBRAL MENINGES, PERCUTANEOUS APPROACH, DIAGN",10,4,6
00B13ZZ,"EXCISION OF CEREBRAL MENINGES, PERCUTANEOUS APPROACH",10,10,
00B14ZX,"EXCISION OF CEREBRAL MENINGES, PERC ENDO APPROACH, DIAGN",5,3,2
00B14ZZ,"EXCISION OF CEREBRAL MENINGES, PERC ENDO APPROACH",35,29,6
00B20ZX,"EXCISION OF DURA MATER, OPEN APPROACH, DIAGNOSTIC",136,56,80
00B20ZZ,"EXCISION OF DURA MATER, OPEN APPROACH",339,145,194
00B23ZX,"EXCISION OF DURA MATER, PERCUTANEOUS APPROACH, DIAGNOSTIC",11,2,9
00B23ZZ,"EXCISION OF DURA MATER, PERCUTANEOUS APPROACH",4,2,2
00B24ZX,"EXCISION OF DURA MATER, PERC ENDO APPROACH, DIAGN",7,,7
00B24ZZ,"EXCISION OF DURA MATER, PERCUTANEOUS ENDOSCOPIC APPROACH",18,3,15
00B60ZX,"EXCISION OF CEREBRAL VENTRICLE, OPEN APPROACH, DIAGNOSTIC",53,36,17
00B60ZZ,"EXCISION OF CEREBRAL VENTRICLE, OPEN APPROACH",203,149,54
00B63ZX,"EXCISION OF CEREBRAL VENTRICLE, PERCUTANEOUS APPROACH, DIAGN",18,9,9
00B63ZZ,"EXCISION OF CEREBRAL VENTRICLE, PERCUTANEOUS APPROACH",8,6,2
00B64ZX,"EXCISION OF CEREBRAL VENTRICLE, PERC ENDO APPROACH, DIAGN",14,10,4
00B64ZZ,"EXCISION OF CEREBRAL VENTRICLE, PERC ENDO APPROACH",22,19,3
00B70ZX,"EXCISION OF CEREBRAL HEMISPHERE, OPEN APPROACH, DIAGNOSTIC",582,453,129
00B70ZZ,"EXCISION OF CEREBRAL HEMISPHERE, OPEN APPROACH",2191,1921,270
00B73ZX,"EXCISION OF CEREBRAL HEMISPHERE, PERC APPROACH, DIAGN",218,183,35
00B73ZZ,"EXCISION OF CEREBRAL HEMISPHERE, PERCUTANEOUS APPROACH",17,13,4
00B74ZX,"EXCISION OF CEREBRAL HEMISPHERE, PERC ENDO APPROACH, DIAGN",3,1,2
00B74ZZ,"EXCISION OF CEREBRAL HEMISPHERE, PERC ENDO APPROACH",5,3,2
00B80ZX,"EXCISION OF BASAL GANGLIA, OPEN APPROACH, DIAGNOSTIC",3,3,
00B80ZZ,"EXCISION OF BASAL GANGLIA, OPEN APPROACH",11,8,3
00B83ZX,"EXCISION OF BASAL GANGLIA, PERCUTANEOUS APPROACH, DIAGNOSTIC",13,8,5
00B90ZX,"EXCISION OF THALAMUS, OPEN APPROACH, DIAGNOSTIC",17,15,2
00B90ZZ,"EXCISION OF THALAMUS, OPEN APPROACH",17,14,3
00B93ZX,"EXCISION OF THALAMUS, PERCUTANEOUS APPROACH, DIAGNOSTIC",37,30,7
00B94ZX,"EXCISION OF THALAMUS, PERC ENDO APPROACH, DIAGN",2,,2
00B94ZZ,"EXCISION OF THALAMUS, PERCUTANEOUS ENDOSCOPIC APPROACH",3,2,1
00BA0ZX,"EXCISION OF HYPOTHALAMUS, OPEN APPROACH, DIAGNOSTIC",1,,1
00BA0ZZ,"EXCISION OF HYPOTHALAMUS, OPEN APPROACH",5,2,3
00BA3ZX,"EXCISION OF HYPOTHALAMUS, PERCUTANEOUS APPROACH, DIAGNOSTIC",4,3,1
00BA4ZZ,"EXCISION OF HYPOTHALAMUS, PERCUTANEOUS ENDOSCOPIC APPROACH",2,1,1
00BB0ZX,"EXCISION OF PONS, OPEN APPROACH, DIAGNOSTIC",7,5,2
00BB0ZZ,"EXCISION OF PONS, OPEN APPROACH",18,8,10
00BB3ZX,"EXCISION OF PONS, PERCUTANEOUS APPROACH, DIAGNOSTIC",8,7,1
00BB4ZZ,"EXCISION OF PONS, PERCUTANEOUS ENDOSCOPIC APPROACH",2,2,
00BC0ZX,"EXCISION OF CEREBELLUM, OPEN APPROACH, DIAGNOSTIC",145,93,52
00BC0ZZ,"EXCISION OF CEREBELLUM, OPEN APPROACH",533,424,109
00BC3ZX,"EXCISION OF CEREBELLUM, PERCUTANEOUS APPROACH, DIAGNOSTIC",19,16,3
00BC3ZZ,"EXCISION OF CEREBELLUM, PERCUTANEOUS APPROACH",5,5,
00BC4ZX,"EXCISION OF CEREBELLUM, PERC ENDO APPROACH, DIAGN",1,,1
00BC4ZZ,"EXCISION OF CEREBELLUM, PERCUTANEOUS ENDOSCOPIC APPROACH",2,1,1
00BD0ZX,"EXCISION OF MEDULLA OBLONGATA, OPEN APPROACH, DIAGNOSTIC",4,2,2
00BD0ZZ,"EXCISION OF MEDULLA OBLONGATA, OPEN APPROACH",3,1,2
00BF0ZX,"EXCISION OF OLFACTORY NERVE, OPEN APPROACH, DIAGNOSTIC",2,,2
00BF0ZZ,"EXCISION OF OLFACTORY NERVE, OPEN APPROACH",3,,3
00BF4ZZ,"EXCISION OF OLFACTORY NERVE, PERC ENDO APPROACH",1,,1
00BG0ZX,"EXCISION OF OPTIC NERVE, OPEN APPROACH, DIAGNOSTIC",7,2,5
00BG0ZZ,"EXCISION OF OPTIC NERVE, OPEN APPROACH",16,6,10
00BG3ZZ,"EXCISION OF OPTIC NERVE, PERCUTANEOUS APPROACH",1,,1
00BG4ZX,"EXCISION OF OPTIC NERVE, PERC ENDO APPROACH, DIAGN",1,1,
00BG4ZZ,"EXCISION OF OPTIC NERVE, PERCUTANEOUS ENDOSCOPIC APPROACH",4,1,3
00BH0ZX,"EXCISION OF OCULOMOTOR NERVE, OPEN APPROACH, DIAGNOSTIC",1,,1
00BH0ZZ,"EXCISION OF OCULOMOTOR NERVE, OPEN APPROACH",4,2,2
00BJ0ZX,"EXCISION OF TROCHLEAR NERVE, OPEN APPROACH, DIAGNOSTIC",1,,1
00BJ0ZZ,"EXCISION OF TROCHLEAR NERVE, OPEN APPROACH",2,1,1
00BK0ZX,"EXCISION OF TRIGEMINAL NERVE, OPEN APPROACH, DIAGNOSTIC",14,2,12
00BK0ZZ,"EXCISION OF TRIGEMINAL NERVE, OPEN APPROACH",33,15,18
00BK4ZZ,"EXCISION OF TRIGEMINAL NERVE, PERC ENDO APPROACH",3,2,1
00BL0ZX,"EXCISION OF ABDUCENS NERVE, OPEN APPROACH, DIAGNOSTIC",1,,1
00BL0ZZ,"EXCISION OF ABDUCENS NERVE, OPEN APPROACH",2,,2
00BM0ZX,"EXCISION OF FACIAL NERVE, OPEN APPROACH, DIAGNOSTIC",27,1,26
00BM0ZZ,"EXCISION OF FACIAL NERVE, OPEN APPROACH",290,21,269
00BM3ZZ,"EXCISION OF FACIAL NERVE, PERCUTANEOUS APPROACH",1,,1
00BN0ZX,"EXCISION OF ACOUSTIC NERVE, OPEN APPROACH, DIAGNOSTIC",15,9,6
00BN0ZZ,"EXCISION OF ACOUSTIC NERVE, OPEN APPROACH",326,309,17
00BN3ZZ,"EXCISION OF ACOUSTIC NERVE, PERCUTANEOUS APPROACH",1,1,
00BN4ZZ,"EXCISION OF ACOUSTIC NERVE, PERCUTANEOUS ENDOSCOPIC APPROACH",1,1,
00BP0ZZ,"EXCISION OF GLOSSOPHARYNGEAL NERVE, OPEN APPROACH",6,2,4
00BQ0ZX,"EXCISION OF VAGUS NERVE, OPEN APPROACH, DIAGNOSTIC",7,3,4
